budget

218
1100
1400
3250
4500
7000
9000
10000
13000
14000
15000
17350
20000
22000
23000
24000
25000
27000
30000
34000
40000
42000
45000
46000
50000
60000
62000
65000
70000
75000
83532
100000
103000
114000
120000
125000
150000
160000
168000
175000
180000
200000
210000
225000
229575
230000
240000
245000
250000
270000
290000
300000
312000
325000
350000
365000
375000
379000
385907
400000
427000
439000
450000
475000
500000
550000
560000
590000
600000
609000
625000
650000
695393
700000
750000
777000
780000
800000
806947
825000
850000
890000
900000
910000
913000
930000
950000
960000
989000
990000
1000000
1066167
1100000
1200000
1250000
1288000
1300000
1377800
1400000
1420000
1455000
1500000
1592000
1600000
1614000
1644736
1650000
1696377
1700000
1750000
1750211
1800000
1900000
1950000
2000000
2100000
2160000
2200000
2280000
2295429
2300000
2361000
2400000
2450000
2500000
2540800
2600000
2627000
2650000
2686585
2700000
2800000
2883848
2900000
3000000
3150000
3180000
3200000
3209000
3300000
3400000
3440000
3500000
3500159
3600000
3660000
3700000
3716946
3768785
3800000
3850000
3950000
3977000
4000000
4200000
4300000
4400000
4490375
4500000
4600000
4638783
4700000
4800000
4825000
4900000
5000000
5100000
5250000
5300000
5500000
5600000
5952000
6000000
6200000
6244087
6400000
6500000
6600000
6700000
6800000
6900000
7000000
7200000
7217600
7300000
7400000
7500000
7623000
7700000
7840000
7900000
8000000
8200000
8300000
8400000
8495000
8500000
8550000
8600000
8700000
8800000
8900000
9000000
9200000
9300000
9400000
9500000
9600000
9800000
10000000
10500000
10600000
10700000
10800000
10818775
11000000
11350000
11400000
11500000
11900000
12000000
12305523
12500000
12600000
12620000
12800000
13000000
13200000
13400000
13500000
13800000
14000000
14200000
14400000
14500000
14600000
14800000
15000000
15300000
15500000
15600000
15800000
16000000
16400000
16500000
16800000
16900000
17000000
17500000
17700000
17900000
18000000
18026148
18500000
19000000
19400000
19400870
19430000
19500000
19800000
19900000
20000000
21000000
21150000
21500000
22000000
22500000
22700000
23000000
23500000
23600000
24000000
25000000
25100000
25500000
25530000
26000000
27000000
27220000
27500000
27800000
28000000
29000000
29500000
30000000
30250000
30300000
31000000
31115000
31500000
32000000
32500000
33000000
34000000
34200000
35000000
35200000
36000000
37000000
38000000
38600000
39000000
39200000
40000000
41000000
42000000
43000000
44000000
44500000
45000000
46000000
47000000
48000000
49000000
49900000
50000000
50100000
50200000
51000000
52000000
52500000
53000000
54000000
55000000
56000000
57000000
58000000
58800000
59000000
59660000
60000000
61000000
62000000
63000000
64000000
65000000
66000000
68000000
68005000
69000000
69500000
70000000
71000000
71500000
72000000
73000000
74000000
75000000
76000000
77000000
78000000
79000000
80000000
81000000
81200000
82000000
83000000
84000000
84450000
85000000
86000000
87000000
88000000
90000000
92000000
93000000
94000000
95000000
98000000
99000000
100000000
102000000
103000000
105000000
107000000
108000000
109000000
110000000
112000000
113000000
115000000
116000000
117000000
120000000
123000000
125000000
126000000
127000000
127500000
130000000
132000000
133000000
135000000
137000000
139000000
140000000
142000000
144000000
145000000
149000000
150000000
155000000
160000000
165000000
170000000
175000000
176000000
178000000
180000000
185000000
190000000
195000000
200000000
207000000
209000000
210000000
215000000
220000000
225000000
230000000
237000000
245000000
250000000
258000000
260000000
263700000
300000000
390000000
400000000
553632000
600000000
700000000
1000000000
1100000000
2127519898
2400000000
2500000000
4200000000
12215500000
