actor_1_name

50 Cent
A.J. Buckley
Aaliyah
Aasif Mandvi
Abbie Cornish
Abhishek Bachchan
Abigail Evans
Abigail Spencer
Adam Arkin
Adam Baldwin
Adam Garcia
Adam Goldberg
Adam LeFevre
Adam Sandler
Adam Scott
Adrian Martinez
Adriana Barraza
Adriana Caselotti
Agnes Moorehead
Ahna O'Reilly
Aidan Quinn
Aidan Turner
Aimee Garcia
Aisha Tyler
Akon
Aksel Hennie
Akshaye Khanna
Al Pacino
Alain Delon
Alan Brent
Alan Rickman
Alan Ruck
Alanna Ubach
Albert Brooks
Albert Finney
Alden Ehrenreich
Aldis Hodge
Alessandro Nivola
Alex Gibney
Alex Huszar
Alex Kendrick
Alex Pettyfer
Alex Rocco
Alex Russell
Alex Veadov
Alexa PenaVega
Alexander Gould
Alexander Skarsgå
Alexandra Maria La
Alexia Fast
Alexis Arquette
Alexis Dziena
Alfre Woodard
Alia Shawkat
Alice Braga
Alice Cooper
Alice Greczyn
Alice Krige
Alice Olivia Clark
Alicia Goranson
Alicia Witt
Alicja Bachleda
Aliou Touré
Alison Brie
Alison Lohman
Allison Dean
Ally Sheedy
Ally Walker
Alma Martinez
Alona Tal
Alun Armstrong
Alyson Hannigan
Alyson Stoner
Amanda Detmer
Amanda Schull
Amber Stevens West
Amber Valletta
America Ferrera
America Olivo
Ami Ayalon
Amir Talai
Amos Oz
Amy Bruni
Amy Poehler
Amy Schumer
Ana de la Reguera
Anamaria Marinca
Andrea Corr
Andrew Bujalski
Andrew Fiscella
Andrew Garfield
Andrew Robinson
Andrew Wilson
Andy Dick
Andy Lau
Angela Sarafyan
Angeliki Papoulia
Angelina Armani
Angelina Jolie Pit
Angell Conwell
Angie Dickinson
Angus Scrimm
Angus T. Jones
Anika Noni Rose
Anil Kapoor
Anita Page
Anjelica Huston
Ann-Margret
Anna Friel
Anna Gunn
Anna Kendrick
Anna Silk
Annabella Sciorra
Annabelle Wallis
Anne Hathaway
Anthony 'Citric' C
Anthony Hopkins
Anthony L. Fernand
Antoni Corone
Antonia Thomas
Antony Starr
Anupam Kher
Anwar Congo
Archie Panjabi
Ari Folman
Ari Graynor
Ariana Richards
Ariel Hsing
Arjun Rampal
Arliss Howard
Armando Riesco
Armin Mueller-Stah
Art Hindle
Ashanti
Ashley Rickards
Ashley Scott
Ashley Tramonte
Ashley Williams
Asin
Augustus Prew
Aunjanue Ellis
Austin Nichols
Austin Pendleton
Ava Gardner
Ayelet Zurer
Bahare Seddiqi
Bai Ling
Bailee Madison
Bam Margera
Barack Obama
Barry Bostwick
Barry Corbin
Barry Watson
Bashar Rahal
Beau Bridges
Beau Mirchoff
Bebe Neuwirth
Bella Thorne
Belén Rueda
Ben Browder
Ben Davies
Ben Feldman
Ben Gazzara
Benedict Cumberbat
Benjamin A. Onyang
Benno Fürmann
Benoît Magimel
Bernadette Peters
Bernard Cribbins
Bernard Fox
Bernard Hill
Bernie Casey
Bernie Mac
Beth Grant
Betsy Palmer
Beverly D'Angelo
Bex Taylor-Klaus
Bhama
Bhavkhandan Singh
Bhole Baba
Bianca Kajlich
Bill Bailey
Bill Cobbs
Bill Duke
Bill Farmer
Bill Johnson
Bill Maher
Bill Murray
Billy Burke
Billy Campbell
Billy Crudup
Billy Drago
Billy West
Bingbing Fan
Bingbing Li
Birgitte Hjort Sø
Bjørn Sundquist
Blair Brown
Blair Underwood
Blanchard Ryan
Blythe Auffarth
Blythe Danner
Bo Huang
Bob Balaban
Bob Hoskins
Bob Neill
Bob Newhart
Bob Proctor
Bobbie Phillips
Bobby Lee
Bojana Novakovic
Bokeem Woodbine
Bolo Yeung
Bono
Boris Kodjoe
Boyd Banks
Brad Garrett
Brad Pitt
Brad William Henke
Bradley Cooper
Bradley Whitford
Brandon T. Jackson
Brenda Fricker
Brenda Song
Brenda Vaccaro
Brendan Doogie Mil
Brendan Fehr
Brendan Fraser
Brendon Small
Brian Austin Green
Brian Blessed
Brian Bosworth
Brian Dennehy
Brian Doyle-Murray
Brian Eno
Brian Lee Franklin
Brian Thompson
Brianna Brown
Bridgette Wilson-S
Brighton Sharbino
Brigitte Bardot
Brigitte Helm
Britney Spears
Brittany Daniel
Brooke Shields
Bruce Dern
Bruce Dinsmore
Bruce Greenwood
Bruce McGill
Bruce Payne
Bruce Spence
Bruce Willis
Bruno Kirby
Bryce Dallas Howar
Bunta Sugawara
Burgess Meredith
Burl Ives
Burt Kwouk
Burt Young
Buster Keaton
Busy Philipps
Byron Mann
Bárbara Mori
Bérénice Bejo
CCH Pounder
Caitlin Stasey
Caleb Landry Jones
Callie Thorne
Callum Rennie
Cameron Bright
Cameron Monaghan
Campbell Scott
Camren Bicondova
Candice Bergen
Cara Delevingne
Carlos Gallardo
Carlos Ponce
Carmen Electra
Carmen Maura
Carmen Perez
Carol Ann Susi
Carol Block
Carol Channing
Carol Kane
Carole Bouquet
Caroline Dhavernas
Caroline Munro
Carrie Bradstreet
Carroll O'Connor
Cary-Hiroyuki Taga
Cassandra Peterson
Cassie Ventura
Catalina Sandino M
Catherine Bell
Catherine Deneuve
Catherine Dyer
Catherine Hicks
Catherine Lough Ha
Catherine O'Hara
Catriona MacColl
Cedric the Enterta
Celia Imrie
Cem Yilmaz
Channing Tatum
Charis Michelsen
Charla Cochran
Charles Napier
Charles S. Dutton
Charlie Hunnam
Charlie Korsmo
Charlie McDermott
Charlie Rowe
Charlize Theron
Charlotte Rampling
Charlyne Yi
Chase Ellison
Chazz Palminteri
Cheech Marin
Chelan Simmons
Chelcie Ross
Chemeeka Walker
Chen Chang
Cheryl Hines
Chloë Grace Moret
Chris 'Wonder' Sch
Chris Brochu
Chris Brown
Chris Eigeman
Chris Elliott
Chris Evans
Chris Gauthier
Chris Harrison
Chris Hemsworth
Chris Klein
Chris Marquette
Chris Moss
Chris Noth
Chris Zylka
Chriss Anglin
Christian Bale
Christian Clavier
Christian Clemenso
Christian Keyes
Christian Monzon
Christie Burke
Christina Hart
Christina Milian
Christine Taylor
Christo Jivkov
Christoph Waltz
Christopher Abbott
Christopher Denham
Christopher Heyerd
Christopher Judge
Christopher Lamber
Christopher Lee
Christopher Master
Christopher Meloni
Christopher Nichol
Cicely Tyson
Claire Gordon-Harp
Claude Rains
Claudette Colbert
Claudia Cardinale
Claudia Christian
Clayton Snyder
Clea DuVall
Cliff Robertson
Clifton Collins Jr
Clint Eastwood
Clint Howard
Clive Russell
Clu Gulager
Cole Hauser
Colin Ferguson
Colin Firth
Colin Salmon
Colleen Dewhurst
Collette Wolfe
Collin Alfredo St.
Colm Feore
Common
Connie Nielsen
Connie Ray
Connor Paolo
Corbin Allred
Corbin Bernsen
Corbin Bleu
Corinna Harney
Cory Hardrict
Costas Mandylor
Craig Ferguson
Craig Parker
Craig Roberts
Craig Stark
Craig T. Nelson
Curtis Armstrong
Curtiss Cook
Cécile De France
D.B. Woodside
Dallas Barnett
Dameon Clarke
Damian Walshe-Howl
Damián Alcázar
Damon Wayans
Damon Wayans Jr.
Dan Byrd
Dan Fogler
Dan Futterman
Dan Novy
Dana Andrews
Dana Delany
Dane Cook
Dania Ramirez
Daniel Baldwin
Daniel Kaluuya
Daniel London
Daniel Mays
Daniel Radcliffe
Daniel Roebuck
Daniel Sharman
Daniel Stern
Daniel von Bargen
Daniella Alonso
Danielle Kotch
Danneel Ackles
Danny Aiello
Danny Dyer
Danny Huston
Danny Pino
Danny Strong
Dany Boon
Darci Kistler
Darcy Donavan
Dario Nozic Serini
Darren Shahlavi
Darryl Hunt
Daryl Sabara
Daston Kalili
Dave Chappelle
Dave Legeno
David Alpay
David Arquette
David Belle
David Carradine
David Conrad
David Gant
David Hewlett
David Huddleston
David Hyde Pierce
David Jason
David Jason Perez
David Keith
David Lyons
David Mamet
David Margulies
David Masterson
David Niven
David Oakes
David Ogden Stiers
David Oyelowo
David Paymer
David Raizor
David Richmond-Pec
David Wayne
David Zayas
David Zucker
Dax Flame
DeRay Davis
Dean Stockwell
Debbie Harry
Debbie Reynolds
Debi Derryberry
Debi Mazar
Deborah Kara Unger
Deborah Mailman
Debra Messing
Dee Bradley Baker
Del Zamora
Delroy Lindo
Demi Moore
Demián Bichir
Denis Lavant
Denis Leary
Denis O'Hare
Dennis Quaid
Denzel Washington
Derek Luke
Derick Martini
Desmond Llewelyn
Devid Striesow
Devin Ratray
Diahann Carroll
Diane Sorrentino
Dianne Wiest
Dichen Lachman
Dick Clark
Diedrich Bader
Divine
Djimon Hounsou
Dolly Parton
Dominic Cooper
Dominic Flores
Don Ameche
Don Brooks
Don Cheadle
Don Johnson
Don McKellar
Don Rickles
Don Wallace
Donald Faison
Donald Glover
Donald Pleasence
Donatas Banionis
Dong-gun Jang
Donna Murphy
Donna Reed
Donny Boaz
Doona Bae
Dorian Missick
Doug Brochu
Doug E. Doug
Doug Walker
Dougray Scott
Dov Tiefenbach
Drake Bell
Dreama Walker
Drew Fuller
Drew Powell
Drew Waters
Dustin Fitzsimons
Dustin Ingram
Dustin Lance Black
Dustin Milligan
Dwayne Johnson
Dyan Cannon
Dylan Authors
Dylan Baker
Dylan Moran
Dylan Walsh
Déborah Révy
Eamonn Walker
Eartha Kitt
Ed Begley Jr.
Ed Lauter
Ed Skrein
Ed Speleers
Ed Wynn
Eddie Cahill
Eddie Cibrian
Eddie Griffin
Eddie Izzard
Eddie Marsan
Eddie Redmayne
Edgar Arreola
Edgar Ramírez
Edie Falco
Eileen Brennan
Elaine Bromka
Elaine Hendrix
Elden Henson
Eleanor Parker
Elina Abai Kyzy
Elina Alminas
Elisabeth Harnois
Elissa Dowling
Elizabeth Berringt
Elizabeth Daily
Elizabeth McGovern
Elizabeth Montgome
Elizabeth Streb
Ellar Coltrane
Ellen Burstyn
Elpidia Carrillo
Embeth Davidtz
Eme Ikwuakor
Emilia Fox
Emily Osment
Emily Podleski
Emily Rios
Emily Watson
Emir Kusturica
Emma Bell
Emma Caulfield
Emma Stone
Emma Watson
Emmanuelle Seigner
Emmanuelle Vaugier
Emraan Hashmi
Eoin Macken
Eric Dane
Eric Idle
Eric Johnson
Eric Lloyd
Eric Mabius
Eric Mendenhall
Eric Sheffer Steve
Eric Stoltz
Erick Avari
Erika Christensen
Erin Fitzgerald
Ernie Reyes Jr.
Errol Flynn
Esai Morales
Essence Atkins
Essie Davis
Estella Warren
Esther Williams
Ethan Embry
Ethan Suplee
Eugenio Derbez
Eva Amurri Martino
Eva Boehnke
Eva Green
Everett McGill
Ezra Miller
F. Murray Abraham
Fabian Bolin
Faizon Love
Fann Wong
Fanny Ardant
Farrah Fawcett
Fay Masterson
Faye Dunaway
Fereshteh Sadre Or
Fergie
Fernanda Andrade
Fernanda Montenegr
Finn Wittrock
Fionnula Flanagan
Fisher Stevens
Flavio Parenti
Florence Henderson
Florian Lukas
Fran Drescher
Frances Bavier
Frances Bay
Frances Conroy
Frances Fisher
Francesca Capaldi
Francis Capra
Frank Finlay
Frank Grillo
Frank Langella
Frank Welker
Frank Whaley
Frankie Muniz
Franky G
François Bégaude
François Cluzet
Françoise Yip
Fred Gwynne
Fred MacMurray
Fred Willard
French Stewart
G.W. Krauss
Gabriel Millman
Gaby Hoffmann
Gary Cole
Gary Cooper
Gary Daniels
Gary Dourdan
Gary Lewis
Gary Oldman
Gary Weeks
Gavin MacLeod
Gena Rowlands
Gene Tierney
Geoff Stults
Geoffrey Arend
George C. Scott
George Carlin
George Coe
George Kennedy
George Newbern
George Peppard
Gerald McRaney
Geraldine Chaplin
Gerard Butler
Gerry Bednob
Gerry Lopez
Giancarlo Giannini
Gideon Emery
Gillian White
Gina Lollobrigida
Ginger Rogers
Gladys Cooper
Glen Hansard
Glenn Campbell
Glenn Morshower
Glenn Plummer
Gloria Grahame
Goran Visnjic
Gordon Pinsent
Grace Phipps
Greg Ayres
Greg Crowe
Greg Germann
Greg Grunberg
Greg Nicotero
Gregory Scott Cumm
Gregory Smith
Greta Gerwig
Gretchen Mol
Grey Damon
Gunnar Hansen
Gustaf Skarsgård
Hal Holbrook
Hal Landon Jr.
Haley Joel Osment
Haley Ramm
Hanne Aagesen
Hanno Pöschl
Hansika Motwani
Harold Perrineau
Harold Ramis
Harrison Ford
Harrison Gilbertso
Harry Carey Jr.
Harry Lennix
Harry Styles
Harvey Fierstein
Hattie McDaniel
Hayden Christensen
Hayley Atwell
Heath Ledger
Heather Berman
Heather Donahue
Heather Locklear
Heather Matarazzo
Heather O'Rourke
Hector Echavarria
Hector Elizondo
Hector Kotsifakis
Hedy Lamarr
Heike Makatsch
Henry Cavill
Henry Ian Cusick
Henry Silva
Henry Thomas
Hill Harper
Hiroshi Abe
Holly Hunter
Honglei Sun
Honor Blackman
Hope Davis
Hugh Jackman
Hugh Keays-Byrne
Hugh M. Hefner
Hulk Hogan
Humphrey Bogart
Hunter Parrish
Ian Gamazon
Ian McDiarmid
Ian McNeice
Ian Somerhalder
Ian Tracey
Ian Whyte
Ian Ziering
Iben Hjejle
Iko Uwais
Ilene Graff
Illeana Douglas
Imelda Staunton
Indira Varma
Ingvar Eggert Sigu
Ioan Gruffudd
Irene Bedard
Irvin Kershner
Isaac C. Singleton
Isaac Hayes
Isaac Hempstead Wr
Isabella Rossellin
Isabelle Adjani
Isabelle Huppert
Isaiah Washington
Iulia Ciochina
Ivana Baquero
Ivana Milicevic
Izabella Scorupco
J.D. Evermore
J.D. Williams
J.K. Simmons
Jacek Koman
Jacinda Barrett
Jack Davenport
Jack E. Curenton
Jack Kao
Jack McBrayer
Jack McGee
Jack Palance
Jack Reynor
Jack Warden
Jackie Gleason
Jackson Nicoll
Jacob Tremblay
Jacob Vargas
Jacqueline McKenzi
Jacques Perrin
Jada Pinkett Smith
Jaime Camil
Jaime King
Jake Busey
Jake Gyllenhaal
Jamel Debbouze
James Babson
James Brolin
James Brown
James Cagney
James Callis
James Coburn
James Corden
James D'Arcy
James Drury
James Duval
James Frain
James Franco
James Hetfield
James Kyson
James Lafferty
James Martin Kelly
James Mason
James Morrison
James Nesbitt
James Ransone
James Urbaniak
James Wilcox
James Wolk
Jamie Kennedy
Jamie Lee Curtis
Jamie Renée Smith
Jan Decleir
Jan Haley
Jane Fonda
Jane Goodall
Janeane Garofalo
Janet Jackson
Janet Leigh
Jason Alexander
Jason Flemyng
Jason K. Wixom
Jason London
Jason Marsden
Jason Mewes
Jason Momoa
Jason Patric
Jason Priestley
Jason Ritter
Jason Robards
Jason Statham
Jason Stuart
Jasper Cole
Javier Botet
Jay Hernandez
Jay Laga'aia
Jay Mohr
Jean Arthur
Jean Harlow
Jean-Baptiste Maun
Jean-Louis Trintig
Jean-Paul Belmondo
Jean-Pierre Léaud
Jeanne Moreau
Jeanne Tripplehorn
Jeff Bennett
Jeff Bridges
Jeff Fahey
Jeff Kober
Jeffrey Combs
Jeffrey Falcon
Jeffrey Frost
Jeffrey Jones
Jelena Jovanova
Jenna Fischer
Jennifer Ehle
Jennifer Esposito
Jennifer Freeman
Jennifer Garner
Jennifer Hale
Jennifer Hudson
Jennifer Jason Lei
Jennifer Lafleur
Jennifer Lawrence
Jennifer Saunders
Jenny Agutter
Jensen Ackles
Jere Burns
Jeremy Brett
Jeremy Davies
Jeremy Irvine
Jeremy Renner
Jeremy Shada
Jeremy W. Auman
Jerry Ferrara
Jerry Mathers
Jerry Stiller
Jess Weixler
Jesse McCartney
Jessica Barden
Jessica Lowndes
Jessica Paré
Jessica Szohr
Jessica Tandy
Jessie T. Usher
Jessy Schram
Jet Li
Jiao Xu
Jill Clayburgh
Jill Hennessy
Jim Belushi
Jim Broadbent
Jim Carter
Jim Gaffigan
Jim Meskimen
Jim Parsons
Jim Sturgess
Jimi Mistry
Jimmy Bennett
Jimmy Fallon
Jimmy Shergill
Jizelle Jade
Jo Hartley
Joan Allen
Joan Chen
Joan Plowright
Joan Rivers
Joanna Kulig
Joaquim de Almeida
Jodi Lyn O'Keefe
Joe Cocker
Joe Cross
Joe Don Baker
Joe Estevez
Joe Lo Truglio
Joe Mantegna
Joe Morton
Joel Courtney
Joel David Moore
Joel McHale
Joel Moody
Joely Richardson
Joey D. Vieira
Johanna Braddy
Johannes Silbersch
John Abraham
John Amos
John Astin
John August
John Beasley
John Belushi
John Boyega
John Cameron Mitch
John Cassavetes
John Cothran
John Doe
John Doman
John Enos III
John F. Kennedy
John Forsythe
John Gatins
John Gilbert
John Heard
John Howard
John Kapelos
John Karyus
John Mahoney
John Michael Higgi
John Newton
John Ratzenberger
John Robinson
John Savage
John Saxon
John Vernon
John Witherspoon
John de Lancie
Johnny Cannizzaro
Johnny Depp
Johnny Lewis
Johnny Pacar
Jon Brion
Jon Favreau
Jon Foo
Jon Gries
Jon Hamm
Jon Heder
Jon Lovitz
Jon Mack
Jon Seda
Jonathan Blow
Jonathan Brandis
Jonathan D. Mellor
