country

Afg
Arg
Aru
Aus
Bah
Bel
Bra
Bul
Cam
Can
Chi
Col
Cze
Den
Dom
Egy
Fin
Fra
Geo
Ger
Gre
Hon
Hun
Ice
Ind
Ira
Ire
Isr
Ita
Jap
Ken
Kyr
Lib
Mex
Net
New
Nig
Nor
Off
Pak
Pan
Per
Phi
Pol
Rom
Rus
Slo
Sou
Sov
Spa
Swe
Swi
Tai
Tha
Tur
UK
USA
Uni
Wes
